Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Suggested Job Role
63,69,78,87,70,58,78,77,66,8,8,3,8,6,no,yes,Web Developer
94,77,72,83,92,58,93,84,81,11,9,3,7,6,yes,yes,Cloud Architect
80,79,90,86,73,58,71,77,81,8,7,6,9,5,no,yes,Mobile App Developer
76,66,73,90,67,63,77,68,80,6,8,3,7,7,no,yes,Quality Assurance Engineer
85,75,79,77,83,69,85,79,83,10,7,2,6,6,yes,yes,Systems Analyst
70,76,69,82,70,53,76,74,71,8,7,1,6,6,yes,no,Quality Assurance Engineer
77,62,57,74,94,93,76,70,66,7,6,1,5,6,yes,yes,Network Engineer
71,87,79,81,54,43,78,95,71,9,9,1,9,6,no,yes,Data Scientist
92,74,79,84,84,58,89,77,79,9,9,2,8,7,yes,yes,Cloud Architect
58,72,68,73,74,48,70,65,83,7,7,0,4,9,yes,no,Project Manager
80,71,56,59,84,89,85,78,68,7,6,0,5,5,yes,no,Network Engineer
75,89,93,82,55,54,69,89,74,8,9,1,9,7,yes,yes,Data Scientist
89,83,73,87,84,61,83,87,77,10,7,2,6,7,no,yes,Systems Analyst
50,63,64,61,51,54,51,68,80,9,7,1,6,8,yes,yes,UI/UX Designer
76,82,82,83,65,46,82,87,68,7,8,0,7,4,yes,yes,Database Administrator
55,61,61,71,61,52,58,80,81,6,7,0,4,9,no,yes,Business Analyst
60,55,56,68,49,49,62,78,92,9,7,1,3,8,yes,no,Business Analyst
72,89,75,77,66,42,67,87,85,11,9,4,7,5,yes,no,Data Scientist
80,56,62,59,87,92,70,79,71,9,8,2,6,6,no,no,Network Engineer
63,72,52,86,74,54,71,67,81,7,8,2,4,9,no,no,Project Manager
55,60,70,60,63,37,55,53,78,9,7,1,7,7,yes,yes,UI/UX Designer
90,82,70,76,88,62,89,73,82,11,8,2,7,7,no,yes,Cloud Architect
80,91,80,87,58,58,74,97,74,10,9,3,9,7,yes,yes,Machine Learning Engineer
85,80,75,80,81,66,87,76,83,8,9,1,8,7,yes,yes,Cloud Architect
75,87,90,89,78,53,83,96,83,9,8,5,9,7,yes,yes,Machine Learning Engineer
65,79,71,84,74,44,70,72,77,7,8,3,6,6,yes,no,Quality Assurance Engineer
95,90,83,70,86,73,85,89,77,10,8,4,8,6,yes,yes,Cybersecurity Analyst
90,70,77,77,80,69,93,80,78,7,8,3,8,8,yes,no,Cloud Architect
71,68,75,76,69,45,67,79,82,6,7,2,7,7,yes,yes,Quality Assurance Engineer
75,76,84,87,73,67,83,72,77,10,8,0,6,6,yes,yes,Systems Analyst
74,91,88,69,70,57,64,87,74,7,8,3,7,5,yes,yes,Data Scientist
53,67,67,76,60,43,50,64,86,6,6,4,6,8,yes,yes,UI/UX Designer
54,56,67,66,54,39,59,81,89,8,8,0,5,9,no,yes,Business Analyst
67,62,64,64,59,55,69,72,78,6,6,1,7,7,yes,yes,UI/UX Designer
76,65,73,87,78,46,75,72,76,8,8,2,6,6,yes,no,Quality Assurance Engineer
68,68,88,88,67,48,62,78,65,7,7,1,9,6,yes,yes,Web Developer
58,66,70,72,48,58,58,70,92,8,6,2,7,7,yes,yes,UI/UX Designer
85,76,85,87,90,52,92,73,72,7,8,3,8,7,yes,yes,Cloud Architect
96,81,81,77,85,69,78,76,87,12,8,2,9,6,yes,yes,DevOps Engineer
92,56,74,67,85,90,75,68,75,9,8,2,5,6,yes,yes,Network Engineer
65,86,95,83,72,50,79,65,65,9,7,5,9,7,yes,yes,Mobile App Developer
68,59,68,75,58,37,67,71,80,6,6,4,6,8,no,yes,UI/UX Designer
84,70,71,75,78,51,75,60,77,11,7,1,9,8,yes,yes,DevOps Engineer
75,58,53,72,90,70,79,68,63,10,7,1,5,7,yes,yes,Network Engineer
69,66,61,71,48,44,55,74,88,8,6,3,6,8,yes,yes,UI/UX Designer
63,67,72,64,56,44,57,55,89,9,6,1,6,8,yes,yes,UI/UX Designer
73,68,84,89,79,52,74,67,72,6,8,4,8,5,no,yes,Web Developer
82,70,68,55,82,72,74,71,71,10,6,0,6,7,yes,yes,Network Engineer
64,58,55,65,48,43,53,72,86,9,7,0,3,9,yes,yes,Business Analyst
84,77,79,76,94,69,97,74,78,11,8,2,7,8,yes,yes,Cloud Architect
86,88,80,89,77,42,77,61,74,8,7,4,9,7,no,yes,Mobile App Developer
88,72,64,64,86,77,72,74,75,10,6,1,4,7,no,yes,Network Engineer
85,86,73,86,76,68,91,86,77,10,8,0,6,7,no,yes,Systems Analyst
85,74,66,82,83,62,86,75,70,10,7,2,7,7,no,yes,Systems Analyst
84,68,89,78,89,61,86,62,79,9,9,2,7,8,yes,yes,DevOps Engineer
74,90,92,79,72,56,82,77,72,11,7,4,8,6,yes,yes,Software Engineer
73,94,82,80,57,53,67,89,72,12,8,4,9,6,yes,yes,Machine Learning Engineer
91,82,66,78,75,55,87,87,73,7,7,2,7,7,yes,yes,Systems Analyst
83,85,79,81,73,47,92,87,72,10,7,1,8,4,yes,no,Database Administrator
51,68,45,64,51,53,58,83,94,6,7,0,3,9,yes,yes,Business Analyst
87,76,71,72,76,46,91,70,64,10,7,1,6,6,yes,yes,Database Administrator
65,81,75,65,58,52,60,97,89,8,9,3,8,6,no,yes,Data Scientist
77,76,71,75,85,70,87,72,84,7,8,1,6,6,yes,yes,Systems Analyst
62,84,85,88,75,50,75,57,70,8,7,2,7,7,no,yes,Web Developer
83,87,93,77,71,58,74,93,68,10,8,3,8,6,no,yes,Machine Learning Engineer
83,70,51,56,91,77,78,71,68,8,6,1,6,6,yes,yes,Network Engineer
74,90,83,73,73,44,76,93,86,11,8,3,9,7,no,yes,Data Scientist
76,69,80,87,65,55,77,81,81,8,7,3,7,7,no,yes,Quality Assurance Engineer
86,88,82,86,72,41,67,74,70,7,9,5,9,6,yes,yes,Software Engineer
88,68,54,72,93,71,81,81,65,10,6,1,5,7,no,no,Network Engineer
86,86,72,68,94,63,84,79,80,9,8,4,7,6,yes,no,Cybersecurity Analyst
80,84,77,76,50,60,68,97,78,10,8,1,8,5,yes,yes,Data Scientist
89,79,78,84,87,72,87,86,70,8,9,4,8,5,yes,yes,Cybersecurity Analyst
62,65,85,85,82,50,77,64,82,7,8,3,9,7,yes,yes,Web Developer
89,78,78,87,77,58,83,75,70,10,8,1,7,7,yes,yes,Systems Analyst
90,79,79,85,79,56,85,83,71,8,7,1,7,7,yes,no,Systems Analyst
60,72,45,71,62,41,56,70,85,9,8,1,5,8,yes,yes,Business Analyst
69,64,54,85,66,62,67,68,96,10,8,0,4,9,no,yes,Project Manager
76,85,81,87,62,54,81,80,78,7,7,5,7,6,no,yes,Mobile App Developer
67,74,63,85,63,54,59,77,87,10,7,0,4,8,yes,yes,Project Manager
75,83,70,76,76,42,88,88,75,9,8,1,6,4,yes,yes,Database Administrator
68,97,75,71,55,54,77,92,80,10,9,3,9,5,yes,yes,Data Scientist
69,74,76,78,77,59,70,72,83,9,6,2,9,7,yes,yes,Web Developer
85,74,74,85,75,46,75,78,71,12,7,3,7,8,no,yes,DevOps Engineer
63,70,62,75,60,36,54,76,88,8,7,1,3,8,no,yes,Business Analyst
66,78,91,76,65,44,64,79,69,8,8,6,7,5,yes,yes,Mobile App Developer
75,65,72,58,86,84,87,71,76,7,8,0,6,5,yes,yes,Network Engineer
83,83,79,81,81,52,86,66,78,8,8,3,7,7,yes,yes,Cloud Architect
70,68,83,88,73,57,76,82,87,8,7,1,6,7,yes,yes,Quality Assurance Engineer
76,80,92,84,74,44,84,76,69,7,7,3,8,7,yes,yes,Mobile App Developer
71,93,86,87,72,60,80,96,74,8,8,2,9,5,yes,yes,Machine Learning Engineer
74,71,65,81,64,62,75,72,71,9,8,2,7,7,yes,yes,Quality Assurance Engineer
86,85,86,89,79,50,81,80,65,10,7,6,8,5,yes,yes,Mobile App Developer
65,60,58,70,66,53,60,60,81,10,7,2,5,9,yes,yes,Project Manager
62,74,76,72,80,36,78,64,70,7,7,3,9,7,yes,yes,Web Developer
81,76,82,71,74,54,86,86,63,9,8,0,8,6,yes,yes,Database Administrator
84,89,94,91,72,46,76,91,66,11,9,4,8,7,yes,yes,Machine Learning Engineer
69,70,68,69,51,44,51,87,88,7,8,0,5,8,no,yes,Business Analyst
81,87,92,89,80,55,86,90,70,9,7,5,9,6,no,yes,Software Engineer
64,69,56,76,64,43,72,69,93,7,7,1,4,9,no,yes,Project Manager
70,80,70,72,83,41,92,81,69,7,7,1,7,5,yes,yes,Database Administrator
52,67,61,69,47,36,64,58,89,6,7,3,6,7,yes,yes,UI/UX Designer
82,72,72,89,70,67,85,87,84,9,7,2,6,6,yes,no,Systems Analyst
83,84,83,76,62,53,63,81,75,9,8,3,6,7,yes,yes,Quality Assurance Engineer
57,72,74,80,74,61,72,74,86,8,7,2,5,9,no,yes,Project Manager
82,69,93,89,68,56,71,65,68,7,6,4,8,5,yes,no,Web Developer
81,93,86,76,60,46,63,87,70,10,8,4,7,7,yes,yes,Data Scientist
85,84,86,85,78,60,69,83,76,6,8,2,7,5,yes,yes,Mobile App Developer
94,74,74,60,83,71,85,77,64,8,7,0,6,7,yes,no,Network Engineer
67,91,89,73,72,47,70,94,73,10,8,4,9,6,yes,yes,Data Scientist
74,92,80,76,58,52,63,92,80,10,9,2,9,5,yes,yes,Data Scientist
82,74,75,84,72,63,91,75,85,7,7,0,7,7,yes,no,Systems Analyst
74,92,88,79,78,57,65,88,71,12,9,6,9,5,yes,yes,Machine Learning Engineer
89,82,86,77,76,40,80,81,78,11,9,7,8,5,yes,yes,Software Engineer
74,75,77,72,80,39,75,64,83,6,6,5,9,7,yes,yes,Web Developer
74,92,89,80,60,44,73,81,73,7,7,7,8,4,yes,no,Software Engineer
87,89,84,79,85,70,74,74,70,8,9,2,7,5,yes,yes,Cybersecurity Analyst
82,87,85,66,57,61,67,85,84,7,9,3,7,7,yes,yes,Data Scientist
84,84,81,81,89,65,72,84,71,10,8,1,7,6,yes,yes,Cybersecurity Analyst
89,73,79,76,82,70,87,69,85,10,8,3,8,6,yes,yes,Cloud Architect
76,81,76,89,72,60,81,82,78,7,7,2,7,6,yes,yes,Systems Analyst
75,70,88,77,71,42,67,60,82,7,8,1,8,5,no,yes,Web Developer
59,70,56,84,67,55,66,66,95,9,7,2,4,8,yes,yes,Project Manager
90,81,88,85,82,66,78,70,77,8,8,2,9,7,yes,yes,DevOps Engineer
68,85,94,86,72,56,67,72,84,7,8,6,8,7,yes,no,Mobile App Developer
82,81,89,84,67,54,78,91,81,11,9,3,7,5,yes,yes,Data Scientist
75,73,67,71,92,72,70,63,72,7,7,2,5,5,yes,yes,Network Engineer
96,83,89,77,86,72,78,89,70,10,8,4,7,5,yes,no,Cybersecurity Analyst
83,90,82,84,87,64,74,89,68,8,9,1,8,6,yes,yes,Cybersecurity Analyst
65,72,74,82,65,59,73,76,84,7,8,2,4,9,yes,no,Project Manager
80,81,76,84,91,67,85,72,77,8,9,3,7,5,yes,yes,Cybersecurity Analyst
79,80,87,76,71,52,89,90,66,7,7,2,8,4,no,no,Software Engineer
51,62,54,74,53,44,55,78,93,6,7,0,4,8,yes,no,Business Analyst
90,81,72,80,93,60,97,77,80,11,9,2,8,7,yes,no,Cloud Architect
73,69,77,90,75,51,77,75,86,8,7,2,7,7,yes,yes,Quality Assurance Engineer
80,82,87,67,67,50,67,90,70,10,8,3,7,7,yes,no,Data Scientist
71,68,71,87,70,47,78,66,87,7,7,2,6,6,yes,yes,Quality Assurance Engineer
58,61,71,77,62,58,69,75,88,8,8,1,6,9,yes,yes,Project Manager
70,65,59,84,61,62,56,71,91,10,8,2,5,9,no,yes,Project Manager
71,75,83,77,67,53,90,70,62,8,8,1,6,5,yes,no,Database Administrator
62,55,62,67,45,47,54,70,82,6,6,3,5,7,no,yes,UI/UX Designer
95,81,79,76,85,66,77,76,68,9,8,3,8,7,yes,no,Cybersecurity Analyst
64,48,70,74,59,46,57,57,92,7,7,1,6,8,yes,yes,UI/UX Designer
64,56,63,78,46,47,62,57,87,9,7,2,5,8,yes,yes,UI/UX Designer
88,81,79,84,81,61,90,80,75,7,9,1,8,7,yes,yes,Cloud Architect
86,84,82,68,86,70,73,83,82,9,9,2,7,7,no,yes,Cybersecurity Analyst
89,82,81,79,92,55,93,79,80,10,8,3,8,6,yes,yes,Cloud Architect
85,74,66,85,82,71,80,87,78,8,8,2,6,7,yes,yes,Systems Analyst
85,74,83,77,88,57,97,67,87,11,8,1,7,7,yes,yes,Cloud Architect
94,81,83,82,79,68,86,90,78,10,8,3,9,5,yes,yes,Software Engineer
86,85,71,85,67,55,82,81,62,7,7,1,8,4,yes,yes,Database Administrator
72,71,81,83,72,46,69,68,79,10,8,2,8,6,yes,yes,Mobile App Developer
82,74,87,77,83,53,95,73,70,10,9,1,7,6,yes,yes,Cloud Architect
87,75,72,81,83,59,89,79,76,8,8,3,8,8,yes,yes,Cloud Architect
85,90,90,76,71,59,82,97,70,12,9,6,9,7,yes,yes,Machine Learning Engineer
72,60,72,79,71,61,65,78,96,10,8,1,5,9,yes,yes,Project Manager
82,75,82,86,83,74,90,69,74,11,9,3,8,7,no,yes,Cloud Architect
72,83,84,80,77,50,71,66,74,9,8,1,6,6,no,yes,Quality Assurance Engineer
74,79,70,83,69,62,76,65,83,9,7,2,6,7,yes,no,Quality Assurance Engineer
65,82,67,91,64,64,65,81,86,8,7,3,7,7,yes,yes,Quality Assurance Engineer
80,73,67,60,92,70,82,66,74,10,8,1,4,7,yes,yes,Network Engineer
58,66,55,64,53,39,55,68,82,7,6,4,5,8,yes,yes,UI/UX Designer
91,86,68,81,74,70,85,83,71,7,7,1,7,6,yes,yes,Systems Analyst
69,87,86,65,74,60,79,90,87,7,8,4,8,6,no,yes,Data Scientist
65,80,94,81,75,44,57,67,67,8,8,5,7,5,yes,yes,Web Developer
92,75,85,73,90,75,88,84,78,10,9,1,7,5,yes,yes,Cybersecurity Analyst
81,96,92,80,66,68,77,95,80,9,9,5,8,7,yes,no,Machine Learning Engineer
84,75,96,75,74,62,66,83,80,8,9,4,8,5,yes,yes,Software Engineer
80,87,86,85,66,48,63,84,77,8,8,2,7,7,yes,yes,Mobile App Developer
79,93,96,93,82,65,69,90,82,6,7,2,8,5,no,yes,Software Engineer
73,71,75,76,66,57,78,77,79,8,8,1,6,6,yes,yes,Database Administrator
83,75,77,69,94,61,81,86,71,9,9,4,7,6,yes,yes,Cybersecurity Analyst
79,84,87,86,68,35,55,69,77,6,7,2,9,5,yes,yes,Web Developer
76,86,88,89,61,45,76,75,81,6,8,2,9,5,yes,no,Mobile App Developer
65,91,87,74,64,52,68,94,78,8,9,2,7,5,yes,no,Data Scientist
82,96,88,83,71,63,72,96,75,11,8,4,9,5,yes,yes,Data Scientist
91,75,89,76,94,45,82,84,83,8,8,1,9,6,yes,yes,DevOps Engineer
74,80,92,83,67,46,63,61,73,6,7,5,7,7,yes,yes,Web Developer
97,76,72,81,91,63,75,84,74,10,8,1,9,6,yes,yes,DevOps Engineer
90,75,87,91,76,51,81,69,72,11,9,3,7,6,yes,yes,DevOps Engineer
83,78,74,87,64,46,69,75,72,6,8,2,7,6,yes,yes,Quality Assurance Engineer
81,71,67,71,88,79,79,84,66,10,6,1,5,7,yes,no,Network Engineer
63,69,85,88,67,46,73,73,77,9,8,2,7,5,yes,no,Web Developer
71,70,83,85,68,37,70,78,76,8,6,1,8,7,yes,yes,Web Developer
84,90,88,79,67,63,74,91,78,12,9,5,8,7,yes,yes,Machine Learning Engineer
71,97,85,83,54,58,70,92,81,8,9,4,7,5,yes,yes,Data Scientist
79,68,65,85,64,58,78,68,71,8,8,1,7,6,yes,yes,Quality Assurance Engineer
81,77,83,87,68,44,60,66,80,9,8,3,6,6,yes,no,Quality Assurance Engineer
82,75,76,83,87,56,82,79,72,7,8,1,7,7,yes,yes,Systems Analyst
65,54,63,62,63,45,55,55,89,6,6,1,6,7,yes,yes,UI/UX Designer
91,80,85,78,85,57,83,63,81,8,7,4,8,7,yes,yes,DevOps Engineer
88,81,85,76,65,57,66,87,74,8,9,3,7,5,yes,yes,Software Engineer
81,85,87,76,92,50,87,79,80,8,8,1,8,8,yes,yes,Cloud Architect
62,50,55,63,47,51,51,68,94,8,7,3,6,7,yes,yes,UI/UX Designer
73,87,90,77,60,45,82,93,69,10,9,3,8,4,yes,yes,Software Engineer
75,86,86,74,56,52,66,92,86,8,8,2,8,7,yes,yes,Data Scientist
57,69,52,76,72,53,72,78,93,10,8,1,4,9,no,no,Project Manager
80,71,68,72,85,93,88,69,67,7,7,0,4,6,yes,yes,Network Engineer
75,79,72,84,71,73,93,77,70,10,7,2,7,7,yes,yes,Systems Analyst
91,76,86,67,94,75,78,80,79,9,9,2,7,5,yes,yes,Cybersecurity Analyst
81,72,69,86,74,49,85,86,64,7,8,0,6,4,yes,yes,Database Administrator
93,82,81,75,82,65,96,74,71,8,8,1,8,7,no,yes,Cloud Architect
81,83,89,86,76,68,70,76,73,10,8,2,8,6,yes,yes,Software Engineer
52,45,74,60,46,53,59,53,78,6,7,4,5,7,yes,no,UI/UX Designer
90,83,82,90,78,45,87,60,74,12,8,3,9,7,yes,yes,DevOps Engineer
93,85,75,75,97,71,71,72,68,7,9,4,8,6,yes,no,Cybersecurity Analyst
74,87,79,75,83,40,75,82,62,8,7,2,6,6,yes,yes,Database Administrator
91,82,90,83,64,53,67,90,64,10,9,4,8,5,yes,yes,Software Engineer
66,69,81,79,73,49,66,72,77,8,7,2,6,6,yes,yes,Quality Assurance Engineer
87,79,73,84,89,69,97,76,78,7,8,2,8,7,yes,yes,Cloud Architect
67,45,58,70,64,43,57,57,79,9,6,1,7,7,no,yes,UI/UX Designer
83,72,84,85,85,51,93,70,86,10,9,3,8,8,yes,yes,Cloud Architect
68,58,73,77,46,40,62,66,80,6,7,1,7,7,no,yes,UI/UX Designer
69,67,65,76,60,59,61,75,82,9,8,1,5,9,yes,no,Business Analyst
90,75,79,84,92,80,80,86,72,9,8,3,8,6,yes,yes,Cybersecurity Analyst
92,93,96,94,69,45,79,91,70,9,7,2,7,7,no,yes,Software Engineer
60,69,69,77,56,47,55,76,84,8,8,2,6,9,no,yes,Project Manager
55,71,70,83,73,60,71,73,87,7,7,0,4,8,yes,yes,Project Manager
79,75,83,89,66,64,80,64,68,7,7,2,8,6,no,yes,Mobile App Developer
56,67,59,71,45,59,47,87,89,7,8,1,4,9,no,yes,Business Analyst
64,67,64,87,58,59,71,62,81,10,7,2,4,8,yes,yes,Project Manager
59,72,56,76,45,42,54,79,81,6,7,0,4,8,yes,yes,Business Analyst
92,78,75,89,84,70,97,83,71,9,8,3,7,7,no,no,Cloud Architect
90,75,86,85,92,61,90,72,85,11,8,1,7,6,yes,yes,Cloud Architect
69,59,72,71,45,41,68,50,81,7,6,3,7,7,yes,yes,UI/UX Designer
87,85,83,78,93,63,96,70,82,7,9,2,7,6,yes,yes,Cloud Architect
85,81,92,84,66,53,69,72,82,10,9,4,8,6,yes,yes,Software Engineer
87,86,76,73,76,62,94,84,75,7,7,2,6,5,yes,no,Database Administrator
68,85,84,71,62,53,63,92,74,7,9,3,7,5,yes,yes,Data Scientist
64,80,93,83,80,49,76,58,71,9,7,5,8,5,yes,yes,Web Developer
54,69,67,79,52,43,68,69,89,7,7,2,7,7,yes,yes,UI/UX Designer
78,87,85,90,69,68,68,91,80,9,8,3,8,5,yes,yes,Machine Learning Engineer
81,84,74,82,77,64,77,82,71,9,8,2,7,6,yes,yes,Quality Assurance Engineer
87,94,80,90,67,66,68,91,78,12,9,2,9,5,yes,yes,Machine Learning Engineer
78,89,86,83,58,69,81,93,82,12,8,4,9,7,no,yes,Machine Learning Engineer
